第1堂,13/02/2015 (五)       ,09:30 - 17:30,富勒博士的理念及大中華民族願景
,,,財富與規劃的定義與關係
,,,貴族的定義
,,,大中華目標市場'優質目標客戶
,,,"營銷系統, 貴族跟進系統及步驟"
第2堂,14/02/2015 (六)    ,09:30 - 17:30,規劃師定位及話述
,,,規劃師立場
,,,設計完整的規劃計劃書-白皮書影片及演練
,,,分析製作及向客戶匯報風險評估分析報告-影片
第3堂,25/02/2015 (三)  ,09:30 - 17:30,真實個案分享及分析
,,,家族規劃藍圖設計
,,,客戶全面規劃流程
,,,了解多做一門穩賺的家族生意
,,,財務計算機應用
第4堂,26/02/2015 (四)    ,09:30 - 17:30,真實個案分享及分析
,,,家庭及保險信託的基本功能 
,,,能力測試
,,,課程小結
第5堂,09/03/2015 (一)        ,09:30 - 17:30,真實個案分享及分析
,,,企業業務延續規劃
,,,股東協議書規劃及案例
,,,家族企業股權規劃
,,,企業接班規劃
,,,企業要員留才規劃
第6堂,10/03/2015 (二)   ,09:30 - 17:30,公開個案分享及分析
,,,了解國內遺產稅草案
,,,遺產稅草案解讀及計算工具應用
,,,遺產稅節稅規劃
,,,了解國內繼承法及婚姻法
第7堂,17/03/2015 (二)    ,09:30 - 17:30,研討個案分享及分析
,,,香港無遺囑者遺產條例
,,,香港遺囑及國內遺囑
,,,講解遺囑的重要性及協助客戶成立各地認可的遺囑
,,,家書功能及練習
,,,貴族規劃書上下冊
第8堂,31/03/2015 (二)      ,09:30 - 17:30,真實個案分享及分析
,,,退休規劃
,,,香港持久授權書 
,,,核心規劃工具應用 
,,,創造最大人壽保額
,,,家族規劃切入要決及邀約重點
,,,課程小結
第9堂,13/04/2015 (一)   ,09:30 - 17:30,真實個案分享及分析　
,,,設計及講解家庭信託的資產增值及分配系統
第10堂,28/04/2015 (二)   ,09:30 - 17:30,真實個案分享及分析 
,,,設計及講解信託意願書
,,,講解及創造信託安全資產 
,,,成立信託及完善信託資產配置
第11堂,08/05/2015 (五)  ,09:30 - 17:30,真實個案分享及分析
,,,學員整體規劃方案報告
,,,計劃書設計
,,,成交及處理異議
第12堂,09/05/2015 (六)    ,09:30 - 17:30,真實個案分享及分析
,,,課程總結及分享
,,,信託講座
,,,規劃師畢業典禮
,,,規劃師祝捷聚餐
